0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 59, 0
0, 59, 0
0, 59, 0
0, 59, 0
0, 59, 0
0, 59, 0
0, 59, 19
0, 60, 19
0, 29, 19
0, 59, 0
0, 120, 19
0, 59, 19
0, 30, 19
0, 59, 19
0, 60, 19
0, 60, 19
0, 59, 19
0, 30, 19
0, 59, 15
0, 60, 19
0, 59, 19
0, 59, 19
0, 29, 19
0, 60, 19
0, 59, 19
0, 60, 19
0, 60, 19
0, 29, 19
0, 59, 19
0, 60, 19
0, 59, 19
0, 47, 38
0, 62, 57
0, 64, 57
0, 68, 57
0, 68, 57
0, 39, 57
0, 57, 57
0, 60, 57
0, 63, 57
0, 64, 57
0, 24, 58
0, 59, 39
0, 60, 39
0, 59, 39
0, 60, 39
0, 29, 39
0, 59, 39
0, 59, 39
0, 59, 39
0, 59, 39
0, 30, 39
0, 59, 39
0, 60, 39
0, 60, 39
0, 29, 39
0, 60, 39
0, 59, 39
0, 60, 39
0, 0, 20
0, 90, 39
0, 59, 39
0, 60, 39
0, 59, 39
0, 60, 39
0, 29, 39
0, 60, 39
0, 59, 39
0, 60, 39
0, 29, 39
0, 60, 39
0, 60, 39
0, 59, 39
0, 59, 39
0, 29, 39
0, 60, 39
0, 59, 39
0, 60, 39
0, 59, 39
0, 29, 39
0, 60, 39
0, 59, 39
0, 60, 39
0, 60, 39
0, 59, 39
0, 90, 39
0, 60, 39
0, 90, 39
0, 89, 39
0, 120, 39
0, 119, 39
0, 150, 39
0, 210, 39
0, 0, 20
